swing_id,course,round_date,hole,round_total,shot_number,distance_to_pin,terrain,fairway_hit,green_in_reg,penalty,club_used,club_speed,total_distance,carry_distance,ball_speed,apex_ht,back_spin,side_spin,launch_dir,launch_angle,smash_factor,spin_axis,flight_time,face_angle,swing_path,face_to_path_angle,AoA,Dynamic_Loft,Spin_Loft,Curve_Amount,Air_Carry_Efficiency,Offline_estimated,,,,,,,,,,,,,
1221436,Avaira_GC,1/9/2025,9,36,6,4,Green,,,,Putter,3.09,5.0,,5.25,,0 ,0 ,1.9 ,0.0 ,1.699,,,,, ,, , , , , ,,,,,,,,,,,,,
122137,Avaira_GC,1/9/2025,10,37,1,511,Tee,No,,,Driver,114.57,235.3,226.9,161.13,64,4757 ,1811 ,3.0 ,7.5 ,1.406,,,,, ,,8.9,12.33,38.07%,96.5%,119.1 ,,,,,,,,,,,,,
122638,Avaira_GC,1/9/2025,10,38,2,275,Rough,,,,6 Iron,101.26,176.6,168.4,126.01,52,5694 ,667 ,3.5 ,10.8 ,1.244,21.0,5.9,2.7,4.9,7.6,-3.40,12.0,17.73,11.71%,95.3%,29.5 ,,,,,,,,,,,,,
122339,Avaira_GC,1/9/2025,10,39,3,173,Rough,,,,Hybrid,89.63,115.5,113.6,99.92,73,5761 ,2263 ,(11.7),25.4 ,1.115,7.0,5.2,3.0,4.9,7.9,-5.70,7.0,8.50,39.28%,98.4%,59.6 ,,,,,,,,,,,,,
1221440,Avaira_GC,1/9/2025,10,40,4,5,Fairway,,Yes,,Putter,3.58,4.7,,6.55,,0 ,0 ,0.2 ,0.0 ,1.830,21.0,5.0,-14.2,2.3,-11.9,-1.54, , , , , ,,,,,,,,,,,,,
122641,Avaira_GC,1/9/2025,11,41,1,175,Tee,,,,6 Iron,95.98,165.5,164.7,121.84,110,6871 ,1718 ,(1.6),19.3 ,1.269,,,,, ,,12.4,14.75,25.00%,99.5%,57.6 ,,,,,,,,,,,,,
1221242,Avaira_GC,1/9/2025,11,42,2,16,Rough,,No,,Sand Wedge,50.35,24.2,19.9,33.83,11,4965 ,1539 ,2.7 ,32.7 ,0.672,14.0,6.3,-3.7,4.5,0.8,-2.36,19.0,20.68,31.00%,82.0%,8.4 ,,,,,,,,,,,,,
1221443,Avaira_GC,1/9/2025,11,43,3,9,Green,,,,Putter,5.43,9.8,,9.44,,0 ,0 ,0.7 ,0.0 ,1.738,17.0,1.7,-8.2,11.7,3.5,-1.64, , , , , ,,,,,,,,,,,,,
122144,Avaira_GC,1/9/2025,12,44,1,408,Tee,No,,,Driver,111.25,231.9,228.9,162.75,72,3750 ,1704 ,1.1 ,11.6 ,1.463,,,,, ,,10.1,12.72,45.44%,98.7%,137.3 ,,,,,,,,,,,,,
122645,Avaira_GC,1/9/2025,12,45,2,174,Rough,,,,6 Iron,98.17,151.1,20.8,123.10,79,6130 ,1335 ,(3.4),19.9 ,1.254,24.0,5.7,0.4,4.8,5.2,-2.64,11.2,13.97,21.78%,13.8%,6.2 ,,,,,,,,,,,,,
1221246,Avaira_GC,1/9/2025,12,46,3,63,Rough,,No,,Sand Wedge,70.00,50.8,50.3,52.52,49,4503 ,100 ,(1.5),37.4 ,0.750,12.0,0.4,-5.3,2.0,-3.3,-2.72,28.9,53.86,2.22%,98.9%,1.3 ,,,,,,,,,,,,,
1221447,Avaira_GC,1/9/2025,12,47,4,12,Green,,,,Putter,5.98,12.4,,10.11,,0 ,0 ,2.1 ,0.0 ,1.691,1.0,3.5,-2.3,-0.8,-3.1,-24.96, , , , , ,,,,,,,,,,,,,
122148,Avaira_GC,1/9/2025,13,48,1,344,Tee,Yes,,,Driver,109.56,253.2,243.5,156.79,96,3540 ,1444 ,1.6 ,13.5 ,1.431,,,,, ,,12.5,17.12,40.79%,96.2%,133.9 ,,,,,,,,,,,,,
1221249,Avaira_GC,1/9/2025,13,49,2,71,Fairway,,,,Sand Wedge,74.43,77.9,75.8,74.63,43,10215 ,3112 ,(0.4),28.8 ,1.003,22.0,6.5,1.2,4.1,5.3,-4.66,14.4,16.14,30.47%,97.3%,32.2 ,,,,,,,,,,,,,
1221250,Avaira_GC,1/9/2025,13,50,3,11,Green,,Yes,,Sand Wedge,16.56,9.0,5.5,16.87,3,2951 ,188 ,(1.3),31.9 ,1.019,17.0,3.8,-9.6,7.1,-2.5,-1.73,23.4,32.77,6.37%,61.3%,0.6 ,,,,,,,,,,,,,
122451,Avaira_GC,1/9/2025,14,51,1,196,Tee,,,,4 Iron,98.54,191.0,188.5,124.64,134,5133 ,938 ,(0.1),18.5 ,1.265,4.0,0.8,-3.2,0.2,-3.0,-9.38,14.0,16.10,18.27%,98.7%,47.1 ,,,,,,,,,,,,,
1221452,Avaira_GC,1/9/2025,14,52,2,26,Green,,Yes,,Putter,8.75,20.3,,15.86,,0 ,0 ,(1.2),0.0 ,1.813,10.0,6.9,-1.4,7.5,6.1,-2.08, , , , , ,,,,,,,,,,,,,
1221453,Avaira_GC,1/9/2025,14,53,3,5,Green,,,,Putter,3.23,5.3,,5.33,,0 ,0 ,0.8 ,0.0 ,1.650,,,,, ,, , , , , ,,,,,,,,,,,,,
122154,Avaira_GC,1/9/2025,15,54,1,425,Tee,No,,,Driver,117.85,263.2,255.0,153.78,100,2653 ,1612 ,1.4 ,12.5 ,1.305,,,,, ,,11.2,14.07,60.76%,96.9%,197.6 ,,,,,,,,,,,,,
122755,Avaira_GC,1/9/2025,15,55,2,161,Deep Grass,,,,7 Iron,93.77,134.9,131.8,126.31,77,5819 ,663 ,0.8 ,21.6 ,1.347,31.0,6.4,0.8,5.1,5.9,-2.90,17.7,20.53,11.39%,97.7%,23.1 ,,,,,,,,,,,,,
1221256,Avaira_GC,1/9/2025,15,56,3,31,Rough,,No,,Sand Wedge,42.24,28.0,22.7,38.94,9,5000 ,1741 ,(2.2),29.9 ,0.922,7.0,5.4,-0.3,7.3,7.0,-2.84,11.2,12.66,34.82%,81.2%,10.8 ,,,,,,,,,,,,,
